Instance File,Number of Nodes,Number of Edges,Expected K,K,Execution Time,Solution found,Notes
anna,138,986,11,11,0.407,True,
david,87,812,11,11,0.015,True,
fpsol2.i.1,496,11654,65,Fail,Timeout,False,
fpsol2.i.2,451,8691,30,Fail,Timeout,False,
fpsol2.i.3,425,8688,30,Fail,Timeout,False,
games120,120,1276,9,9,0.084,True,
homer,561,3258,13,13,104.444,True,
huck,74,602,11,11,0.011,True,
inithx.i.1,864,18707,54,Fail,Timeout,False,
inithx.i.3,621,13969,31,Fail,Timeout,False,
jean,80,508,10,10,0.061,True,
le450_15b,450,8169,15,Fail,Timeout,False,
le450_15c,450,16680,15,Fail,Timeout,False,
le450_15d,450,16750,15,Fail,Timeout,False,
le450_25a,450,8263,25,25,120.876,True,
le450_25b,450,8263,25,25,217.377,True,
le450_25c,450,17343,25,Fail,Timeout,False,
le450_25d,450,17425,25,Fail,Timeout,False,
le450_5a,450,5714,5,Fail,Timeout,False,
le450_5b,450,9803,5,Fail,Timeout,False,
le450_5c,450,9803,5,Fail,Timeout,False,
le450_5d,450,9757,5,Fail,Timeout,False,
miles1000,128,6432,42,42,75.157,True,
miles1500,128,10396,73,73,7.305,True,
miles250,128,774,8,8,1.067,True,
miles500,128,2340,20,20,2.064,True,
miles750,128,4226,31,31,34.887,True,
myciel3,11,20,4,4,0.000,True,
myciel4,23,71,5,5,0.002,True,
myciel5,47,236,6,6,0.007,True,
myciel6,95,755,7,7,0.099,True,
myciel7,191,2360,8,8,1.437,True,
queen11_11,121,3960,11,Fail,Fail,False,
queen13_13,169,6656,13,Fail,Fail,False,
queen5_5,25,320,5,5,0.036,True,
queen6_6,36,580,7,7,2.765,True,
queen7_7,49,952,7,7,0.383,True,
queen8_12,96,2736,12,12,3.631,True,
zeroin.i.1,211,4100,49,Fail,Timeout,False,
