Instance File,Number of Nodes,Number of Edges,Expected K,K,Execution Time,Solution found,Notes,Iterations
anna,138,986,11,11.0,0.0021000000000000003,1.0,,10
david,87,812,11,11.0,0.0005,1.0,,10
fpsol2.i.1,496,11654,65,65.0,0.0788,1.0,,10
fpsol2.i.2,451,8691,30,30.0,0.0392,1.0,,10
fpsol2.i.3,425,8688,30,30.0,0.03380000000000001,1.0,,10
games120,120,1276,9,9.0,0.0021000000000000003,1.0,,10
homer,561,3258,13,13.0,0.11810000000000001,1.0,,10
huck,74,602,11,11.0,0.0004,1.0,,10
inithx.i.1,864,18707,54,54.0,0.3107000000000001,1.0,,10
inithx.i.2,645,13979,31,31.0,0.1058,1.0,,10
inithx.i.3,621,13969,31,31.0,0.09689999999999999,1.0,,10
jean,80,508,10,10.0,0.0005,1.0,,10
le450_15b,450,8169,15,18.0,0.04669999999999999,0.0,,10
le450_15c,450,16680,15,26.0,0.048499999999999995,0.0,,10
le450_15d,450,16750,15,26.0,0.049999999999999996,0.0,,10
le450_25a,450,8263,25,25.0,0.04649999999999999,1.0,,10
le450_25b,450,8263,25,25.0,0.046799999999999994,1.0,,10
le450_25c,450,17343,25,29.0,0.04839999999999999,0.0,,10
le450_25d,450,17425,25,30.0,0.048299999999999996,0.0,,10
le450_5a,450,5714,5,11.0,0.057499999999999996,0.0,,10
le450_5b,450,9803,5,12.0,0.044399999999999995,0.0,,10
le450_5c,450,9803,5,12.0,0.04479999999999999,0.0,,10
le450_5d,450,9757,5,14.0,0.04599999999999999,0.0,,10
miles1000,128,6432,42,43.0,0.0024999999999999996,0.0,,10
miles1500,128,10396,73,73.0,0.0034999999999999996,1.0,,10
miles250,128,774,8,8.0,0.0020000000000000005,1.0,,10
miles500,128,2340,20,20.0,0.0021000000000000003,1.0,,10
miles750,128,4226,31,32.0,0.0021000000000000003,0.0,,10
myciel3,11,20,4,4.0,0.0,1.0,,10
myciel4,23,71,5,5.0,0.0001,1.0,,10
myciel5,47,236,6,6.0,0.00030000000000000003,1.0,,10
myciel6,95,755,7,7.0,0.0007,1.0,,10
myciel7,191,2360,8,8.0,0.004400000000000001,1.0,,10
queen11_11,121,3960,11,17.0,0.0016,0.0,,10
queen13_13,169,6656,13,22.0,0.0047,0.0,,10
queen5_5,25,320,5,7.0,0.0001,0.0,,10
queen6_6,36,580,7,9.0,0.0002,0.0,,10
queen7_7,49,952,7,12.0,0.0002,0.0,,10
queen8_12,96,2736,12,15.0,0.0012000000000000003,0.0,,10
